burst, startT [s], endT [s], relative startT [s], relative endT [s], cycle period [s], inst burstfreq [Hz], duration [s], dutycycle, interburst interval [s], #spikes , spikefreq in burst [Hz],Time,0 Channel 1
57,145.675632,146.491232,145.675632,146.491232,2.714696,0.368365,0.8156,0.300439,1.899096,50,60.07847,145.67563,10.808481
58,148.390328,148.875104,148.390328,148.875104,2.20768,0.452964,0.484776,0.219586,1.722904,31,61.884252,148.39033,10.765076
59,150.598008,151.857344,150.598008,151.857344,3.154536,0.317004,1.259336,0.399214,1.8952,79,61.937402,150.59801,10.7293
60,153.752544,154.217716,153.752544,154.217716,2.151552,0.464781,0.465172,0.216203,1.68638,29,60.192789,153.75254,10.664344
61,155.904096,157.046312,155.904096,157.046312,3.149052,0.317556,1.142216,0.362717,2.006836,74,63.910854,155.9041,10.635047
62,159.053148,159.497576,159.053148,159.497576,2.120044,0.471688,0.444428,0.209631,1.675616,29,63.002331,159.05315,10.587404
63,161.173192,162.296,161.173192,162.296,2.95152,0.338808,1.122808,0.380417,1.828712,67,58.781199,161.17319,10.556371
64,164.124712,164.646328,164.124712,164.646328,2.231712,0.448086,0.521616,0.233729,1.710096,31,57.513573,164.12471,10.54806
65,166.356424,167.555536,166.356424,167.555536,3.23658,0.308968,1.199112,0.370487,2.037468,78,64.214185,166.35642,10.528107
66,169.593004,170.1464,169.593004,170.1464,2.285292,0.437581,0.553396,0.242155,1.731896,35,61.438825,169.593,10.485511
67,171.878296,175.410852,171.878296,175.410852,5.982408,0.167157,3.532556,0.590491,2.449852,218,61.428609,171.8783,10.470862
68,177.860704,178.23498,177.860704,178.23498,2.09532,0.477254,0.374276,0.178625,1.721044,25,64.123802,177.8607,10.403301
69,179.956024,180.485756,179.956024,180.485756,2.221164,0.450214,0.529732,0.238493,1.691432,32,58.520157,179.95602,10.378606
70,182.177188,183.157392,182.177188,183.157392,2.855588,0.350191,0.980204,0.343258,1.875384,61,61.211748,182.17719,10.373881
71,185.032776,185.604908,185.032776,185.604908,2.210672,0.452351,0.572132,0.258805,1.63854,36,61.174694,185.03278,10.351164
72,187.243448,188.355956,187.243448,188.355956,3.083344,0.324323,1.112508,0.360812,1.970836,69,61.123156,187.24345,10.336644
73,190.326792,190.8524,190.326792,190.8524,2.157308,0.463541,0.525608,0.243641,1.6317,28,51.369081,190.32679,10.328581
74,192.4841,193.70498,192.4841,193.70498,3.198836,0.312614,1.22088,0.381664,1.977956,78,63.069262,192.4841,10.33915
75,195.682936,196.239536,195.682936,196.239536,2.248912,0.444659,0.5566,0.247497,1.692312,33,57.491915,195.68294,10.323088
76,197.931848,199.3079,197.931848,199.3079,3.259732,0.306774,1.376052,0.422137,1.88368,84,60.317488,197.93185,10.310622
77,201.19158,201.735492,201.19158,201.735492,2.112972,0.473267,0.543912,0.257416,1.56906,32,56.994514,201.19158,10.291877
78,203.304552,204.863176,203.304552,204.863176,3.5454,0.282056,1.558624,0.439619,1.986776,93,59.026423,203.30455,10.292053
79,206.849952,207.33442,206.849952,207.33442,2.118584,0.472013,0.484468,0.228675,1.634116,29,57.795355,206.84995,10.281653
80,208.968536,211.803932,208.968536,211.803932,5.080964,0.196813,2.835396,0.558043,2.245568,173,60.661721,208.96854,10.286173
81,214.0495,214.465332,214.0495,214.465332,2.161832,0.462571,0.415832,0.192352,1.746,27,62.525251,214.0495,10.266113
82,216.211332,217.249648,216.211332,217.249648,3.071296,0.325595,1.038316,0.338071,2.03298,70,66.453758,216.21133,10.256958
83,219.282628,220.041232,219.282628,220.041232,2.705796,0.369577,0.758604,0.280363,1.947192,45,58.001276,219.28263,10.252803
84,221.988424,223.262008,221.988424,223.262008,3.289792,0.303971,1.273584,0.387132,2.016208,77,59.674117,221.98842,10.275609
85,225.278216,225.988612,225.278216,225.988612,2.579524,0.387668,0.710396,0.275398,1.869128,43,59.121955,225.27822,10.277299
86,227.85774,229.187796,227.85774,229.187796,3.342604,0.299168,1.330056,0.39791,2.012548,79,58.644147,227.85774,10.264587
87,231.200344,231.88912,231.200344,231.88912,2.520952,0.396676,0.688776,0.273221,1.832176,39,55.170331,231.20034,10.25231
88,233.721296,235.283172,233.721296,235.283172,3.710236,0.269525,1.561876,0.420964,2.14836,97,61.464546,233.7213,10.246301
89,237.431532,237.992748,237.431532,237.992748,2.388632,0.41865,0.561216,0.234953,1.827416,32,55.237199,237.43153,10.250168
90,239.820164,241.21324,239.820164,241.21324,3.449052,0.289935,1.393076,0.403901,2.055976,81,57.426874,239.82016,10.243225
91,243.269216,243.831904,243.269216,243.831904,2.360996,0.42355,0.562688,0.238327,1.798308,34,58.647066,243.26922,10.229492
92,245.630212,247.161576,245.630212,247.161576,3.57192,0.279961,1.531364,0.428723,2.040556,93,60.07716,245.63021,10.235121
93,249.202132,249.646756,249.202132,249.646756,2.222708,0.449902,0.444624,0.200037,1.778084,27,58.476376,249.20213,10.227966
94,251.42484,252.829208,251.42484,252.829208,3.423544,0.292095,1.404368,0.410209,2.019176,84,59.101318,251.42484,10.225443
95,254.848384,255.640184,254.848384,255.640184,2.66118,0.375773,0.7918,0.297537,1.86938,48,59.358424,254.84838,10.227239
96,257.509564,259.2031,257.509564,259.2031,3.78722,0.264046,1.693536,0.447171,2.093684,101,59.048051,257.50956,10.217819
97,261.296784,261.774704,261.296784,261.774704,2.308324,0.433215,0.47792,0.207042,1.830404,27,54.40241,261.29678,10.218952
98,263.605108,265.92104,263.605108,265.92104,4.651656,0.214977,2.315932,0.497873,2.335724,139,59.587242,263.60511,10.227127
99,268.256764,268.71328,268.256764,268.71328,2.23514,0.447399,0.456516,0.204245,1.778624,26,54.762593,268.25676,10.229492
100,270.491904,272.026988,270.491904,272.026988,3.809644,0.262492,1.535084,0.402947,2.27456,97,62.537294,270.4919,10.279283
101,274.301548,274.907284,274.301548,274.907284,2.458188,0.406804,0.605736,0.246416,1.852452,36,57.780947,274.30155,10.272963
102,276.759736,278.121304,276.759736,278.121304,3.4415,0.290571,1.361568,0.395632,2.079932,82,59.490235,276.75974,10.284623
103,280.201236,280.900944,280.201236,280.900944,2.571472,0.388882,0.699708,0.272104,1.871764,43,60.025039,280.20124,10.295821
104,282.772708,284.4332,282.772708,284.4332,3.912588,0.255585,1.660492,0.424397,2.252096,104,62.029808,282.77271,10.319266
105,286.685296,287.14592,286.685296,287.14592,2.288704,0.436928,0.460624,0.20126,1.82808,27,56.44517,286.6853,10.36978
106,288.974,290.68536,288.974,290.68536,3.9899,0.250633,1.71136,0.428923,2.27854,101,58.433059,288.974,10.397104
107,292.9639,293.408196,292.9639,293.408196,2.271544,0.440229,0.444296,0.195592,1.827248,28,60.770297,292.9639,10.446255
108,295.235444,296.799368,295.235444,296.799368,3.746388,0.266924,1.563924,0.417448,2.182464,97,61.384057,295.23544,10.472107
109,298.981832,299.414496,298.981832,299.414496,2.157296,0.463543,0.432664,0.200558,1.724632,25,55.470296,298.98183,10.51016
110,301.139128,302.694792,301.139128,302.694792,3.747592,0.266838,1.555664,0.41511,2.191928,92,58.495922,301.13913,10.534856
111,304.88672,305.404508,304.88672,305.404508,2.358096,0.424071,0.517788,0.219579,1.840308,31,57.93877,304.88672,10.57035
112,307.244816,309.04438,307.244816,309.04438,3.991956,0.250504,1.799564,0.450798,2.192392,110,60.570227,307.24482,10.559528
113,311.236772,311.70546,311.236772,311.70546,2.475284,0.403994,0.468688,0.189347,2.006596,26,53.340388,311.23677,10.600087
